,,,,,,,,
,Schedule Maker,,,,,,,
,,,,,,,,
,:30,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:45,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,11:00 PM,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:15,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:30,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:45,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,12:00 AM,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:15,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:30,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:45,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,1:00 AM,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:15,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:30,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:45,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,2:00 AM,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:15,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
,:30,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep,Rest / sleep
